,Date,Open,High,Low,Close,Volume,Turnover (â‚¹ Cr),SMA_20,EMA_10,RSI,Returns,Volatility
135,2024-07-08,24329.45,24344.6,24240.55,24320.55,266299131.0,26356.03,23776.77,24098.793553455605,85.02089360334257,-0.00013566931221820067,0.003234798118760131
136,2024-07-09,24351.0,24443.6,24331.9,24433.2,250537091.0,29361.08,23835.47,24159.594725554587,89.54812004139329,0.004631885380881551,0.003169213993278117
137,2024-07-10,24459.85,24461.05,24141.8,24324.45,292263786.0,35358.54,23888.45,24189.56841181739,81.11060910995172,-0.004450911055449147,0.003499405666999236
138,2024-07-11,24396.55,24402.65,24193.75,24315.95,306404194.0,32115.44,23938.1,24212.546882396044,85.12435880856918,-0.00034944263899083783,0.0035457717692213954
139,2024-07-12,24387.95,24592.2,24331.15,24502.15,325823474.0,39565.33,23993.2625,24265.20199468767,86.82220864518087,0.007657525204649573,0.0037523359530555775
140,2024-07-15,24587.6,24635.05,24522.75,24586.7,305395934.0,31593.04,24049.3175,24323.65617747173,85.74555968607999,0.0034507175900890807,0.003759255189364841
141,2024-07-16,24615.9,24661.25,24587.65,24613.0,283212233.0,28668.71,24102.072500000002,24376.264145204143,84.15955200587516,0.001069684016155037,0.003750013611630041
142,2024-07-18,24543.8,24837.75,24504.45,24800.85,350924425.0,40477.17,24166.315,24453.461573348843,84.33428662217966,0.0076321456141064115,0.0038144129158535003
143,2024-07-19,24853.8,24854.8,24508.15,24530.9,343772965.0,33588.08,24214.510000000002,24467.541287285418,69.45046728971974,-0.010884707580586794,0.004874270066647596
144,2024-07-22,24445.75,24595.2,24362.3,24509.25,324190553.0,32496.23,24264.917500000003,24475.12468959716,64.9576478253787,-0.0008825603626446687,0.0047929003627783994
145,2024-07-23,24568.9,24582.55,24074.2,24479.05,436408768.0,44921.42,24311.9775,24475.838382397673,64.32373578514401,-0.0012321878474453873,0.004850205472571025
146,2024-07-24,24444.95,24504.25,24307.25,24413.5,366616574.0,39538.11,24346.5875,24464.50413105264,55.55652782639134,-0.002677799996323338,0.004753064809016069
147,2024-07-25,24230.95,24426.15,24210.8,24406.1,391821970.0,37853.62,24373.4525,24453.885198133976,54.58111145388028,-0.00030311098367707956,0.004630861434901794
148,2024-07-26,24423.35,24861.15,24410.9,24834.85,383826136.0,42118.36,24412.97,24523.15152574598,66.57368967306695,0.017567329479105664,0.005775306848719381
149,2024-07-29,24943.3,24999.75,24774.6,24836.1,354966070.0,37102.92,24454.245000000003,24580.05124833762,66.74352895326555,5.0332496471794386e-05,0.005743943584672413
150,2024-07-30,24839.4,24971.75,24798.65,24857.3,384989431.0,37576.58,24490.0125,24630.460112276232,64.6433257371728,0.0008535961765334665,0.00567712448491559
151,2024-07-31,24886.7,24984.6,24856.5,24951.15,333646302.0,35411.32,24531.377500000002,24688.767364589643,71.86366173597546,0.003775550844218989,0.005673911740181871
152,2024-08-01,25030.95,25078.3,24956.4,25010.9,431313292.0,38822.9,24567.5975,24747.336934664254,73.4076594024723,0.0023946792031630526,0.005552655202526006
153,2024-08-02,24789.0,24851.9,24686.85,24717.7,345027881.0,35368.54,24588.375,24741.948401088932,56.77212604857203,-0.011722888820474342,0.0062907921286618285
154,2024-08-05,24302.85,24350.05,23893.7,24055.6,486994718.0,45066.65,24574.9625,24617.157782709124,37.75703088981094,-0.026786472851438536,0.008820745981810077
155,2024-08-06,24189.85,24382.6,23960.4,23992.55,312339387.0,31553.65,24558.5625,24503.592731307464,35.93562280403492,-0.0026210113237665755,0.008832588179923844
156,2024-08-07,24289.4,24337.7,24184.9,24297.5,317564429.0,29738.85,24551.777500000004,24466.121325615197,39.16524958563839,0.012710195456506312,0.009260760421807247
157,2024-08-08,24248.55,24340.5,24079.7,24117.0,311875940.0,30858.18,24541.405000000002,24402.644720957887,40.733858690785354,-0.007428747813561065,0.009355521933555624
158,2024-08-09,24386.85,24419.75,24311.2,24367.5,215129992.0,22339.19,24543.982500000002,24396.254771692817,47.12153518123669,0.010386864037815746,0.009660793183611401
159,2024-08-12,24320.05,24472.8,24212.1,24347.0,279925100.0,30311.85,24536.225,24387.299358657758,47.307904018266726,-0.0008412844977941925,0.009498763236126993
160,2024-08-13,24342.35,24359.95,24116.5,24139.0,239727640.0,25459.58,24513.84,24342.154020719983,44.710982658959544,-0.008543146999630324,0.009628916379516737
161,2024-08-14,24184.4,24196.5,24099.7,24143.75,303254705.0,27834.61,24490.3775,24306.080562407256,44.93991937817043,0.00019677699987563635,0.009621617192454307
162,2024-08-16,24334.85,24563.9,24204.5,24541.15,271611087.0,28521.9,24477.392499999998,24348.82046015139,44.265911753221474,0.016459746311157097,0.01021844680186731
163,2024-08-19,24636.35,24638.8,24522.95,24572.65,243645503.0,22124.41,24479.48,24389.516740123865,44.916546068499834,0.001283558431450782,0.00992412989654846
164,2024-08-20,24648.9,24734.3,24607.2,24698.85,238318940.0,25478.73,24488.96,24445.759151010432,47.06165971256374,0.005135791215029606,0.00998281851925901
165,2024-08-21,24680.55,24787.95,24654.5,24770.2,257114212.0,27404.63,24503.517499999998,24504.748396281262,46.616175783076194,0.002888798466325504,0.009989169225478444
166,2024-08-22,24863.4,24867.35,24784.45,24811.5,220345125.0,24227.03,24523.4175,24560.521415139214,46.2452453583399,0.0016673260611541618,0.009960446410801327
167,2024-08-23,24845.4,24858.4,24771.65,24823.15,206800655.0,23134.22,24544.27,24608.272066932084,52.22116903633493,0.0004695403341192783,0.009957211152330385
168,2024-08-26,24906.1,25043.8,24874.7,25010.6,210266456.0,22166.86,24553.057500000003,24681.422600217156,75.14348902111529,0.007551418736139404,0.009305055131855434
169,2024-08-27,25024.8,25073.1,24973.65,25017.75,223346636.0,26695.0,24562.14,24742.573036541307,77.81032986111111,0.0002858787873942781,0.009304746279550863
170,2024-08-28,25030.8,25129.6,24964.65,25052.35,220419448.0,26994.19,24571.892499999998,24798.896120806523,73.99624884763325,0.0013830180571794415,0.009306840081117627
171,2024-08-29,25035.3,25192.9,24998.5,25151.95,353993900.0,43221.73,24581.9325,24863.087735205336,84.6844733402594,0.003975674936682605,0.009310730535696735
172,2024-08-30,25249.7,25268.35,25199.4,25235.9,638166179.0,89554.91,24593.182500000003,24930.87178334982,82.7599215331221,0.0033377133780880808,0.009323517391282107
173,2024-09-02,25333.6,25333.65,25235.5,25278.7,222815249.0,28187.71,24621.232500000002,24994.113277286215,84.56629813756771,0.0016959965763059248,0.008870243283379911
174,2024-09-03,25313.4,25321.7,25235.8,25279.85,212131921.0,27276.14,24682.445,25046.06540868872,100.0,4.5492845755390476e-05,0.005978741638846695
175,2024-09-04,25089.95,25216.0,25083.8,25198.7,253788501.0,26293.35,24742.7525,25073.817152563497,93.3333333333335,-0.003210066515426213,0.006006692609902759
176,2024-09-05,25250.5,25275.45,25127.75,25145.1,222242223.0,26272.38,24785.1325,25086.777670279225,84.57267158967308,-0.002127093858016571,0.005576577766440622
177,2024-09-06,25093.7,25168.75,24801.3,24852.15,311671856.0,33001.17,24821.89,25044.11809386482,62.313860252004645,-0.0116503811875871,0.006004965479963203
178,2024-09-09,24823.4,24957.5,24753.15,24936.4,254367252.0,25180.28,24850.335,25024.532985889397,60.86737728166904,0.003390048748297403,0.005654782648765871
179,2024-09-10,24999.4,25130.5,24896.8,25041.1,251274802.0,27846.31,24885.04,25027.54517027314,62.02610316967059,0.00419868144559743,0.005672718506217914
180,2024-09-11,25034.0,25113.7,24885.15,24918.45,279229206.0,29395.73,24924.0125,25007.70968476893,54.428021363805804,-0.004897947773859657,0.005387070712972553
181,2024-09-12,25059.65,25433.35,24941.45,25388.9,380069653.0,41747.91,24986.269999999997,25077.017014810943,66.97470671187264,0.018879585206944993,0.006611008921846566
182,2024-09-13,25430.45,25430.5,25292.45,25356.5,250781898.0,25530.69,25027.0375,25127.832103027133,61.44303294958326,-0.001276148238009589,0.005782973556391521
183,2024-09-16,25406.65,25445.7,25336.2,25383.75,168694880.0,18705.01,25067.5925,25174.36262974947,61.94906953966706,0.0010746751326089488,0.005783861299882085
184,2024-09-17,25416.9,25441.65,25352.25,25418.55,215956868.0,25280.83,25103.577500000003,25218.760333431383,61.954037996996874,0.0013709558280394774,0.00572509657952203
185,2024-09-18,25402.4,25482.2,25285.55,25377.55,215727159.0,28832.0,25133.945,25247.631181898403,57.65732129522775,-0.0016129952337957665,0.005754084646094158
186,2024-09-19,25487.05,25611.95,25376.05,25415.8,314461263.0,34389.27,25164.16,25278.207330644145,56.30166736724111,0.0015072376963103373,0.005753552033120928
187,2024-09-20,25525.95,25849.25,25426.6,25790.95,533067422.0,68915.27,25212.55,25371.433270527028,64.55462423639727,0.014760503308965278,0.0064951268075807206
188,2024-09-23,25872.55,25956.0,25847.35,25939.05,209187756.0,24825.74,25258.9725,25474.636312249386,67.28641107672951,0.005742324342453475,0.006424998379113988
189,2024-09-24,25921.45,26011.55,25886.85,25940.4,384115033.0,35573.63,25305.105000000003,25559.320619113132,70.2994143083913,5.204508260714391e-05,0.006428194253970591
190,2024-09-25,25899.45,26032.8,25871.35,26004.15,278540972.0,27868.08,25352.695,25640.19868836529,73.38123622111551,0.0024575565527131804,0.006428734931735972
191,2024-09-26,26005.4,26250.9,25998.4,26216.05,370895477.0,40838.36,25405.9,25744.898926844326,88.8354214123007,0.0081486993422204,0.006566383854870114
192,2024-09-27,26248.25,26277.35,26151.4,26178.95,490332370.0,55420.63,25453.052499999998,25823.81730378172,86.3563215027651,-0.0014151636116043198,0.006604909367145557
193,2024-09-30,26061.3,26134.7,25794.1,25810.85,375370974.0,36028.06,25479.66,25821.459612185045,69.5145138800862,-0.014060915353747983,0.007503691636939888
194,2024-10-01,25788.45,25907.6,25739.2,25796.9,247423786.0,27473.29,25505.5125,25816.994228151398,73.56926296584479,-0.0005404703835788505,0.007509039694520905
195,2024-10-03,25452.85,25639.45,25230.3,25250.1,423395030.0,45689.5,25508.0825,25713.922550305688,46.422496004948634,-0.0211963452973033,0.008978127187912492
196,2024-10-04,25181.9,25485.05,24966.8,25014.6,374914801.0,42719.71,25501.557500000003,25586.77299570465,42.02286514232381,-0.009326695735858426,0.009215030575226808
197,2024-10-07,25084.1,25143.0,24694.35,24795.75,374345795.0,40550.24,25498.7375,25442.950632849257,37.40683628887175,-0.008748890647861551,0.009046909584353098
198,2024-10-08,24832.2,25044.0,24756.8,25013.15,333220055.0,33493.36,25502.575,25364.8050632403,41.94740187509937,0.008767631549761568,0.009233294767100855
199,2024-10-09,25065.8,25234.05,24947.7,24981.95,290562844.0,30877.63,25499.6175,25295.195051742063,42.111350402807716,-0.0012473438971101203,0.009189182159494769
200,2024-10-10,25067.05,25134.05,24979.4,24998.45,261364749.0,28046.45,25503.6175,25241.241405970777,41.60481161869132,0.0006604768642959336,0.009119527630532349
201,2024-10-11,24985.3,25028.65,24920.05,24964.25,210462717.0,21734.97,25482.385000000002,25190.879332157907,30.726908192287965,-0.0013680848212589414,0.007990707903374092
202,2024-10-14,25023.45,25159.75,25017.5,25127.95,206423311.0,21270.9,25470.9575,25179.437635401922,31.2271443780957,0.006557377049180246,0.008157042477117028
203,2024-10-15,25186.3,25212.05,25008.15,25057.35,257228772.0,29113.88,25454.6375,25157.23988351066,30.19667645937517,-0.002809620362982379,0.00816579700670174
204,2024-10-16,25008.55,25093.4,24908.45,24971.3,226774456.0,24115.83,25432.275,25123.432631963267,27.066634100850393,-0.0034341221238478603,0.008174970591444355
205,2024-10-17,25027.4,25029.5,24728.9,24749.85,252755662.0,32606.34,25400.89,25055.508517060855,17.582028831697244,-0.008868180671410819,0.008369029468877779
206,2024-10-18,24664.95,24886.2,24567.65,24854.05,290855392.0,31772.76,25372.802499999998,25018.87969577706,21.550354305346843,0.0042101265260194864,0.008436903032829337
207,2024-10-21,24956.15,24978.3,24679.6,24781.1,241978957.0,32207.22,25322.309999999998,24975.647023817593,24.67848624191612,-0.0029351353199982277,0.007571428134749043
208,2024-10-22,24798.65,24882.0,24445.8,24472.1,279484697.0,32801.59,25248.9625,24884.09301948712,21.55127984882327,-0.01246918014131737,0.007689556451182298
209,2024-10-23,24378.15,24604.25,24378.1,24435.5,284556771.0,31928.1,25173.7175,24802.530652307643,27.59872401275996,-0.0014955806816742134,0.0076662674874927745
210,2024-10-24,24412.7,24480.65,24341.2,24399.4,216686434.0,27817.66,25093.48,24729.23417006989,30.998270323696687,-0.0014773587608192251,0.007569917991713118
211,2024-10-25,24418.05,24440.25,24073.9,24180.8,372642214.0,37068.91,24991.717500000002,24629.518866420814,31.00305829291655,-0.00895923670254195,0.007182356355720146
212,2024-10-28,24251.1,24492.6,24134.9,24339.15,278562235.0,28136.06,24899.7275,24576.724527071576,28.39050977877534,0.006548584000529489,0.007545244570515885
213,2024-10-29,24328.85,24484.5,24140.85,24466.85,332044690.0,35579.48,24832.5275,24556.747340331287,34.44746376811591,0.00524669103070563,0.007370817904142409
214,2024-10-30,24371.45,24498.2,24307.3,24340.85,285196335.0,31068.7,24759.725,24517.49327845287,31.376380628717058,-0.005149825171609779,0.007373636253482201
215,2024-10-31,24349.85,24372.45,24172.6,24205.35,287007588.0,33403.89,24707.487499999996,24460.7399550978,29.673773301907005,-0.005566773551457738,0.006036691465808617
216,2024-11-01,24302.75,24368.25,24280.2,24304.35,38811387.0,3348.45,24671.975,24432.30541780729,27.14888186005213,0.004090004895611843,0.005935180280381562
217,2024-11-04,24315.75,24316.75,23816.15,23995.35,285531635.0,31561.52,24631.954999999998,24352.85897820596,23.97696642979662,-0.012713773460306443,0.006250610050422434
218,2024-11-05,23916.5,24229.05,23842.75,24213.3,289511197.0,30074.77,24591.962499999998,24327.484618532148,32.55385748480943,0.009083009833155131,0.0062785322260209
219,2024-11-06,24308.75,24537.6,24204.05,24484.05,351082031.0,34108.84,24567.0675,24355.951051526303,44.018094252149275,0.011181871120417242,0.006900147609373302
220,2024-11-07,24489.6,24503.35,24179.05,24199.35,322185588.0,30971.89,24527.1125,24327.478133066972,36.3729081675131,-0.011627978214388546,0.007282575505195274
221,2024-11-08,24207.7,24276.15,24066.65,24148.2,298725122.0,27670.3,24486.31,24294.882108872975,36.70601579566463,-0.0021136931363857636,0.007283245753716024
222,2024-11-11,24087.25,24336.8,24004.6,24141.3,273370562.0,26600.28,24436.9775,24266.958089077885,42.04157243901266,-0.0002857355827764474,0.007034613133566877
223,2024-11-12,24225.8,24242.0,23839.15,23883.45,255825829.0,26852.73,24378.2825,24197.229345609176,37.99656454523712,-0.010680866399075395,0.0072988514439792825
224,2024-11-13,23822.45,23873.6,23509.6,23559.05,304569316.0,27765.81,24307.67,24081.196737316597,33.76354889193729,-0.013582627300494754,0.007717427494787591
225,2024-11-14,23542.15,23675.9,23484.15,23532.7,257708474.0,24814.37,24246.8125,23981.470057804487,36.47311738186678,-0.0011184661520731165,0.007594423963064521
226,2024-11-18,23605.3,23606.8,23350.4,23453.8,263311912.0,25257.33,24176.8,23885.53004729458,30.887464110700876,-0.0033527814487925856,0.007429709178713512
227,2024-11-19,23529.55,23780.65,23464.8,23518.5,297477279.0,30486.78,24113.670000000002,23818.797311422833,28.955018529614136,0.002758614808687776,0.0075353729765638595
228,2024-11-21,23488.45,23507.3,23263.15,23349.9,420332354.0,40900.89,24057.56,23733.543254800497,28.417728411194673,-0.007168824542381436,0.0072575076080100475
229,2024-11-22,23411.8,23956.1,23359.0,23907.25,367562789.0,39257.52,24031.1475,23765.126299382224,44.51538121872243,0.02386948123974819,0.009329517857625627
230,2024-11-25,24253.55,24351.55,24135.45,24221.9,687172787.0,85975.81,24022.2725,23848.176063130908,48.594562345521226,0.013161279528176584,0.009853800558225262
231,2024-11-26,24343.3,24343.3,24125.4,24194.5,230691771.0,24140.67,24022.957499999997,23911.144051652558,53.7552090207984,-0.0011312077087264338,0.00964581510229011
232,2024-11-27,24204.8,24354.55,24145.65,24274.9,295011445.0,31149.09,24019.745000000003,23977.281496806638,51.225090489638475,0.0033230692926078387,0.009558403845412511
233,2024-11-28,24274.15,24345.75,23873.35,23914.15,366745300.0,41198.27,23992.109999999997,23965.803042841795,39.05763987558087,-0.014861029293632533,0.010014276075995601
234,2024-11-29,23927.15,24188.45,23927.15,24131.1,282104071.0,30509.98,23981.6225,23995.857035052377,48.65456265893903,0.009072034757664271,0.010214085093142351
235,2024-12-02,24140.85,24301.7,24008.65,24276.05,220384187.0,23162.75,23985.1575,24046.801210497397,52.43046974507155,0.006006771344862161,0.010232786718114622
236,2024-12-03,24367.5,24481.35,24280.0,24457.15,339470947.0,34228.3,23992.7975,24121.41008131605,55.63142974307775,0.0074600274756395635,0.010327600169723367
237,2024-12-04,24488.75,24573.2,24366.3,24467.45,348003156.0,34639.78,24016.4025,24184.326430167675,61.42052565707133,0.00042114473681520437,0.009859211736377892
238,2024-12-05,24539.15,24857.75,24295.55,24708.4,361469920.0,40471.33,24041.1575,24279.61253377355,73.23468170699661,0.009847777353177323,0.009893549917046773
239,2024-12-06,24729.45,24751.05,24620.5,24677.8,226731303.0,23904.13,24050.844999999998,24352.010254905632,73.10905715208258,-0.0012384452251057443,0.009610453129177594
240,2024-12-09,24633.9,24705.0,24580.05,24619.0,248139308.0,25099.79,24071.8275,24400.55384492279,73.70701932858594,-0.002382708345152307,0.009213695575090261
241,2024-12-10,24652.65,24677.8,24510.65,24610.05,261048951.0,26093.38,24094.92,24438.644054936827,72.72405537628808,-0.0003635403550104055,0.009191849665743856
242,2024-12-11,24620.5,24691.75,24583.85,24641.8,187252712.0,21592.23,24119.945,24475.581499493765,78.52002295907093,0.0012901233439184256,0.009187112155555694
243,2024-12-12,24604.45,24675.25,24527.95,24548.7,266051129.0,28235.17,24153.207499999997,24488.87577231308,67.81162358037372,-0.003778133090926783,0.008845888580734462
244,2024-12-13,24498.35,24792.3,24180.8,24768.3,310080852.0,30429.73,24213.670000000002,24539.680177347065,66.01782363977478,0.008945483874909899,0.00825036092543707
245,2024-12-16,24753.4,24781.25,24601.75,24668.25,187551629.0,18608.23,24270.447500000002,24563.056508738508,63.320680444257,-0.004039437506813126,0.008343819599031355
246,2024-12-17,24584.8,24624.1,24303.45,24336.0,264881033.0,26765.16,24314.557500000003,24521.773507149686,51.50485197773505,-0.013468730047733413,0.008991839880329696
247,2024-12-18,24297.95,24394.45,24149.85,24198.85,235346534.0,23315.92,24348.575,24463.060142213377,57.87987821754766,-0.005635683760683796,0.009143604929541872
248,2024-12-19,23877.15,24004.9,23870.3,23951.7,271128027.0,27815.23,24378.665,24370.085570901854,45.11624108455388,-0.01021329525989867,0.009318600221842352
